PDBchain   len  method   resol   rfac  freerfac
5D8VA       83  XRAY      0.48  0.072  0.078
3NIRA       46  XRAY      0.48  0.127  NA   
5NW3A       54  XRAY      0.59  0.135  0.146
1UCSA       64  XRAY      0.62  0.139  0.155
3X2MA      180  XRAY      0.64  0.122  0.129
2VB1A      129  XRAY      0.65  0.084  0.095
6E6OA       40  XRAY       0.7  0.166  0.184
6S2MA      133  XRAY      0.72  0.104  0.111
1R6JA       82  XRAY      0.73  0.075  0.087
4REKA      499  XRAY      0.74  0.113  0.123
4I8HA      223  XRAY      0.75  0.102  0.111
2OV0A      105  XRAY      0.75  0.126  0.142
4LBSA      316  XRAY      0.76  0.132  0.134
6L27A      227  XRAY      0.77  0.119  0.124
1GCIA      269  XRAY      0.78  0.101  0.103
5GV8A      272  XRAY      0.78  0.122   0.14
6ZM8A      208  XRAY      0.78  0.122  0.134
4UA6A      263  XRAY      0.79   0.11  0.115
7AF2AAA    379  XRAY     0.792  0.121  0.132
3UI4A      101  XRAY       0.8  0.095  0.098
5NFMA       75  XRAY       0.8  0.122  0.132
5HB7A      125  XRAY     0.819  0.119  0.132
2H5CA      198  XRAY      0.82  0.087  0.093
1NWZA      125  XRAY      0.82  0.123  0.144
2JFRA      234  XRAY      0.83  0.096  0.124
2O9SA       67  XRAY      0.83  0.105  0.121
1P9GA       41  XRAY      0.84  0.068  0.079
7BNHA       96  XRAY      0.84  0.085  0.101
2YKZA      127  XRAY      0.84  0.106  0.116
4EICA       93  XRAY      0.84  0.106  0.127
2HS1A       99  XRAY      0.84  0.124  0.149
4PSSA      159  XRAY     0.849  0.154  0.169
6Q00A       76  XRAY      0.85  0.096  0.112
6Q00B       45  XRAY      0.85  0.096  0.112
3O4PA      314  XRAY      0.85  0.103  0.121
6ETLA      124  XRAY      0.85  0.103  0.122
1MC2A      122  XRAY      0.85  0.104  0.121
1X8QA      184  XRAY      0.85  0.105   0.13
7BBXA      352  XRAY      0.85  0.108  0.119
7KQOA      169  XRAY      0.85  0.121  0.138
3QPAA      197  XRAY      0.85  0.124  0.117
2FMAA       59  XRAY      0.85  0.131   0.15
1G6XA       58  XRAY      0.86  0.107   0.14
3WDNA      125  XRAY      0.86  0.114  0.139
1MUWA      386  XRAY      0.86  0.126  0.143
3ZSJA      138  XRAY      0.86  0.127  0.142
1V6PA       62  XRAY      0.87  0.119  0.153
4K8MA       84  XRAY      0.87   0.14  0.155
5O99A       60  XRAY     0.871  0.112  0.117
3FILA       56  XRAY      0.88  0.125  0.149
1I1WA      303  XRAY      0.89   0.09  0.106
4U9HL      533  XRAY      0.89  0.096  0.106
4U9HS      265  XRAY      0.89  0.096  0.106
7APWA      128  XRAY      0.89  0.125  0.143
3IP0A      158  XRAY      0.89  0.128  0.128
1G66A      207  XRAY       0.9  0.107  0.132
1IX9A      205  XRAY       0.9  0.107  0.127
6FMCA      158  XRAY       0.9   0.11  0.132
4NPDA       58  XRAY       0.9  0.113   0.13
5X9LA      207  XRAY       0.9  0.117  0.129
1OEWA      329  XRAY       0.9  0.121  0.147
3VORA      182  XRAY       0.9  0.121   0.13
3G21A       77  XRAY       0.9  0.124  0.142
4CE8A      114  XRAY       0.9  0.126  0.141
3ZR8X       65  XRAY       0.9  0.127  0.149
2XU3A      220  XRAY       0.9  0.142  0.155
6LK1B       95  XRAY       0.9  0.145  0.171
1J0PA      108  XRAY      0.91  0.108  0.136
2PVBA      108  XRAY      0.91   0.11  0.132
3QM9A      146  XRAY      0.91  0.121  0.133
5IG6A      115  XRAY      0.91  0.126  0.143
3G46A      146  XRAY      0.91  0.129  0.155
1IQZA       81  XRAY      0.92  0.097  0.113
6HSAA      145  XRAY      0.92  0.102   0.12
6CNWA      116  XRAY      0.92  0.126  0.139
1L9LA       74  XRAY      0.92  0.138   0.19
1OK0A       74  XRAY      0.93  0.103   0.13
6RI6A      498  XRAY      0.93  0.106  0.117
1VBWA       68  XRAY      0.93  0.114  0.143
3M5QA      357  XRAY      0.93  0.124  0.134
1KWFA      363  XRAY      0.94  0.094  0.113
2BT9A       90  XRAY      0.94  0.098   0.12
3QR7A      115  XRAY      0.94  0.102  0.112
2UU8A      237  XRAY      0.94   0.12  0.142
2GUDA      122  XRAY      0.94  0.136  0.156
4A02A      166  XRAY      0.95  0.096  0.116
2XJPA      258  XRAY      0.95  0.106  0.122
5U3AA      496  XRAY      0.95   0.11   0.12
3VN3A      223  XRAY      0.95  0.113  0.129
5O2XA      248  XRAY      0.95  0.116  0.127
1LUGA      259  XRAY      0.95  0.119  0.141
4XDXA       70  XRAY      0.95  0.122  0.136
3VLAA      413  XRAY      0.95  0.128  0.146
4G9SA      187  XRAY      0.95  0.129  0.136
4G9SB      111  XRAY      0.95  0.129  0.136
3DHAA      254  XRAY      0.95  0.133  0.169
